Référence	ContexteGauche	Pivot	ContexteDroit
TXM_etude_des_moeurs	des fanfares, je n’eus ni mon	père	ni ma mère pour me fêter, alors que le parterre était
TXM_etude_des_moeurs	remplir les conditions que ma mère et mon	père	mettaient à leur arrivée, j’implorais l’assistance de mes sœurs
TXM_etude_des_moeurs	lèvres le charbon de l’improvisateur. Mon	père	conçu quelques doutes sur la portée de l’enseignement oratorien, et
TXM_etude_des_moeurs	mon séjour à la pension Lepître. Mon	père	ne m’avait point donné d’argent. Quand mes parents savaient
TXM_etude_des_moeurs	monsieur Lepître avait eu des relations avec mon	père	à l’époque où des royalistes dévoués essayèrent d’enlever au Temple
TXM_etude_des_moeurs	donc obligé de réparer l’oubli de mon	père	, mais la somme qu’il me donna mensuellement fut médiocre,
TXM_etude_des_moeurs	la fin de la deuxième année, mon	père	et ma mère vinrent à Paris. Le jour de leur arrivée
TXM_etude_des_moeurs	, pour médiateur de mon pardon. Mon	père	pencha vers l’indulgence. Mais ma mère fut impitoyable, son
TXM_etude_des_moeurs	Quand j’eus fini mes humanités, mon	père	me laissa sous la tutelle de monsieur Lepître : je devais apprendre
TXM_etude_des_moeurs	à cause de mes dix-neuf ans, mon	père	continua le système qui m’avait envoyé jadis à l’école sans
TXM_etude_des_moeurs	comment le sort déjoua mes tentatives. Mon	père	m’avait présenté chez une de mes tantes qui demeurait dans l’
TXM_etude_des_moeurs	. Napoléon tentait ses derniers coups. Mon	père	, qui pressentait le retour des Bourbons, venait éclairer mon frère
TXM_etude_des_moeurs	me jetai désespérément dans la bibliothèque de mon	père	, où je me mis à lire tous les livres que je
TXM_etude_des_moeurs	ce bal ? En l’absence de mon	père	et de mon frère, n’était -ce pas à moi d’
TXM_etude_des_moeurs	je pus mettre un des gilets de mon	père	; pour la première fois j’eus une chemise à jabot dont
TXM_etude_des_moeurs	et qui entra disant : — Voilà mon	père	. — Eh ! bien, Madeleine ? fit sa mère.
TXM_etude_des_moeurs	un corbeau. — Il vient avec mon	père	. En ce moment le comte entra suivi de son fils qu’
TXM_etude_des_moeurs	parut heureux de me recevoir. Jadis mon	père	s’était dévoué pour nos maîtres à jouer un rôle grand mais
TXM_etude_des_moeurs	Madeleine dégagea sa tête des mains de son	père	, regarda la porte ouverte, se glissa dehors comme une anguille
TXM_etude_des_moeurs	le ridicule de renier le nom de son	père	, illustre fabricant, qui pendant la Révolution avait fait une immense
TXM_etude_des_moeurs	banc de pierre. — Mais, mon	père	, le banc brûle, s’écria Madeleine. — Ils étouffaient
TXM_etude_des_moeurs	Maison Rouge. Il nous suffit que mon	père	ait sa charge ! Notre modestie forcée, dit -elle en souriant
TXM_etude_des_moeurs	enfant. Le roi, près duquel mon	père	est de service, a dit fort gracieusement qu’il reporterait sur
TXM_etude_des_moeurs	à Paris. Si votre frère et votre	père	ne vous secondent point, notre famille, ma mère surtout,
TXM_etude_des_moeurs	que je ne connaissais pas encore, mon	père	redevenait marquis de Vandenesse. — Je ne suis qu’une chose
TXM_etude_des_moeurs	, s’il était convenable de mépriser le	père	de ses enfants. Il finissait toujours par attaquer chez sa femme
TXM_etude_des_moeurs	encouragement ! J’inventai donc la théorie du	père	Castel au profit de l’amour, et retrouvai pour elle une
TXM_etude_des_moeurs	Son désir émut une discussion publique où son	père	lui fit faire des réflexions sur l’instabilité des revenus, sur
TXM_etude_des_moeurs	elle était joyeuse de voir Jacques écoutant son	père	et le père reconquérant un peu de la sainteté qui lui manquait
TXM_etude_des_moeurs	de voir Jacques écoutant son père et le	père	reconquérant un peu de la sainteté qui lui manquait, grâce à
TXM_etude_des_moeurs	, le second ferait les roulages ; le	père	, placé sur la route, à La Rabelaye, une des
TXM_etude_des_moeurs	et dit en continuant : — Quoique mon	père	soit excellent et disposé à m’accorder ce que je lui demande
TXM_etude_des_moeurs	, quelque ancien savant jésuite, et mon	père	sacrifiera volontiers une somme pour l’éducation de l’enfant qui doit
TXM_etude_des_moeurs	il vint un poney pour Jacques que son	père	, excellent cavalier, voulait plier lentement aux fatigues de l’équitation
TXM_etude_des_moeurs	prit la première leçon, accompagné de son	père	aux cris de Madeleine étonnée qui sautait sur le gazon autour duquel
TXM_etude_des_moeurs	, quelle délicieuse récompense ! la joie du	père	, qui redevenait jeune et souriait pour la première fois depuis long-temps
TXM_etude_des_moeurs	cour où elle vit une calèche que son	père	lui donnait, et pour laquelle le comte avait acheté deux chevaux
TXM_etude_des_moeurs	comtesse craignit avec raison les dures apostrophes du	père	pour le fils. Jacques maigrissait déjà, ses beaux yeux bleus
TXM_etude_des_moeurs	maux en lui conseillant de dire à son	père	qu’il était fatigué, quand le comte se mettrait en colère
TXM_etude_des_moeurs	: il fallut substituer le vieux piqueur au	père	, qui ne se laissa pas arracher son écolier sans des tiraillements
TXM_etude_des_moeurs	mot était un mot de haine contre son	père	, le général gronde notre mère, allez donc la défendre.
TXM_etude_des_moeurs	ne dois -je pas savoir ce que mon	père	décidera de moi ? Voici bientôt trois mois... — Je n’
TXM_etude_des_moeurs	première nuit où, de retour chez mon	père	, je pourrais lire cette lettre que je touchais durant le voyage
TXM_etude_des_moeurs	m’a racontés ; les paroles de mon	père	à qui la cour fut si familière ; les plus grandes comme
TXM_etude_des_moeurs	grains en apparence jetés au vent. Mon	père	a remarqué jadis qu’une des façons les plus blessantes dans la
TXM_etude_des_moeurs	aide ; pratiquez donc la maison de mon	père	, l’entrée vous en est acquise, les relations que vous
TXM_etude_des_moeurs	Une lettre de madame de Mortsauf à son	père	, apportée avec des dépêches par un émissaire des Vendéens et dans
TXM_etude_des_moeurs	. Elle me demanda des nouvelles de son	père	; puis elle devina ma fatigue, et alla s’occuper de
TXM_etude_des_moeurs	le passé, vous ne sauriez critiquer votre	père	sans commettre quelque injustice ; mais eussiez -vous la douleur de voir
TXM_etude_des_moeurs	mais eussiez -vous la douleur de voir votre	père	en faute, l’honneur des familles exige que vous ensevelissiez de
TXM_etude_des_moeurs	rêverie. Dieu veut -il leur servir de	père	? se demanda-t -elle après une pause. — Laissez -moi croire
TXM_etude_des_moeurs	pas, il faut les apprendre. Mon	père	tient ceci du duc de Choiseul. Songez à moi, me
TXM_etude_des_moeurs	simplicité. Les enfants dirent bonsoir à leur	père	, les gens nous saluèrent, la comtesse s’en alla,
TXM_etude_des_moeurs	tard me causa bien des chagrins. Mon	père	et ma mère, surpris de cette fortune inespérée, sentirent leur
TXM_etude_des_moeurs	orages. Madeleine et Jacques voyaient rarement leur	père	. Par une de ces hallucinations particulières aux égoïstes, le comte
TXM_etude_des_moeurs	quinze ans de mariage, dire à mon	père	que je ne puis demeurer avec monsieur de Mortsauf, quand,
TXM_etude_des_moeurs	monsieur de Mortsauf, quand, si mon	père	ou ma mère viennent, il sera posé, sage, poli
TXM_etude_des_moeurs	-vous ce que le roi disait à votre	père	à propos de vous ? " Ce diable de Mortsauf vit donc
TXM_etude_des_moeurs	Jacques, ne resteraient -ils pas avec leur	père	? Eh ! bien, croyez -vous, je vous le demande
TXM_etude_des_moeurs	-ils ? — En Angleterre, avec le	père	. — Voyons, Félix, soyez franc. Est -elle aussi
TXM_etude_des_moeurs	en montrant par un regard Madeleine à son	père	. — Je ne suis pas un enfant, dit le comte
TXM_etude_des_moeurs	! Jacques fit quelques difficultés. — Votre	père	vous veut, allez, mon fils, dit la mère en
TXM_etude_des_moeurs	de beaux enfants jouant le soir avec un	père	adoré de toute sa famille, et sous les yeux attendris d’
TXM_etude_des_moeurs	l’auditeur. J’écrirai demain à mon	père	de m’envoyer ce bonhomme par le paquebot, et tu le
TXM_etude_des_moeurs	faveur de son esprit. Plus courtisan que	père	, le duc ne demanda point de congé et monta dans la
TXM_etude_des_moeurs	promenant tous les cinq, Jacques et son	père	, les deux abbés et moi, tous silencieux le long de
TXM_etude_des_moeurs	La grave jeune fille resta près de son	père	, en disant que la comtesse désirait être seule avec moi,
TXM_etude_des_moeurs	enfants qui survinrent. La vue de ce	père	de qui seuls nous connaissions la secrète démence, devenu le tuteur
TXM_etude_des_moeurs	combat qui se préparait entre son autorité de	père	et celle de sa fille, qui devenait maîtresse de maison,
TXM_etude_des_moeurs	étendue ; ni sa mère, ni son	père	, ni son mari, ni ses enfants ne l’avaient connue
TXM_etude_des_moeurs	jour, sur le cercueil même de mon	père	, je plaiderais avec Charles de Vandenesse, avec mon frère à
TXM_etude_des_moeurs	. Les auditeurs éclatèrent de rire, le	père	du lieutenant était le flatteur de tous les pouvoirs, un homme
TXM_etude_des_moeurs	des révolutions, et le fils tenait du	père	. Il s’est rencontré dans les armées françaises quelques-uns de ces
TXM_etude_des_moeurs	quotidien ; n’avait -il pas rencontré un	père	en chaque enfant, une mère chez la plus rieuse petite fille
TXM_etude_des_moeurs	va, tu ne ranimeras pas ton pauvre	père	, quand tu resterais là pendant cent ans ! Et maintenant,
TXM_etude_des_moeurs	vous, et bien capable de remplacer son	père	. — Va donc t’habiller. Jacques, cria la veuve
TXM_etude_des_moeurs	les mœurs sont patriarcales : l’autorité du	père	est illimitée, sa parole est souveraine ; il mange seul assis
TXM_etude_des_moeurs	généralement justes, économes et laborieux. Chaque	père	de famille a coutume de partager également ses biens entre ses enfants
TXM_etude_des_moeurs	nous également, nous avons tous perdu notre	père	! La veuve se jeta sur le corps, l’étreignit,
TXM_etude_des_moeurs	Oui, mes enfants ont perdu leur bon	père	, nos parents ont perdu leur bon parent, mes amis ont
TXM_etude_des_moeurs	trouver ici l’accueil que leur faisait votre	père	, et que pour eux rien n’y paraisse changé. —
TXM_etude_des_moeurs	fait la femme : maître, époux,	père	, ami, compagnon, homme, enfin tout ! — La
TXM_etude_des_moeurs	? Non. Mon Dieu ! si ton	père	est malade, ne le quitte pas, Jean, tu te
TXM_etude_des_moeurs	n’êtes pas le seul. — Un	père	, mon cher monsieur, dit -il en fondant en larmes,
TXM_etude_des_moeurs	dit -il en fondant en larmes, un	père	qui était un si bon homme. — Cette oraison funèbre,
TXM_etude_des_moeurs	, à mourir sous les arbres que mon	père	a plantés, dit -il en se remettant à l’ouvrage.
TXM_etude_des_moeurs	comme lui, nous n’avons plus notre	père	. Monsieur, dit -il à Benassis, la résignation de cet
TXM_etude_des_moeurs	. — Eh ! bien, mon brave	père	Moreau, vous voulez donc absolument toujours travailler ? — Oui,
TXM_etude_des_moeurs	philosophe sans s’en douter. Ce vieux	père	Moreau m’a donné l’idée de fonder dans ce canton un
TXM_etude_des_moeurs	, un enfant devient un capital pour son	père	. Mais ce pauvre homme aimait son fils véritablement. " Rien
TXM_etude_des_moeurs	, Benassis entra dans la maison suivi du	père	. Une demi-heure après, il sortit accompagné de la mère,
TXM_etude_des_moeurs	cadeau bien gagné, d’ailleurs. Un	père	a cru me payer ainsi la vie de sa fille, une
TXM_etude_des_moeurs	parents ? demanda Genestas. Que faisaient son	père	et sa mère ? — Oh ! c’est toute une histoire
TXM_etude_des_moeurs	reprit Benassis. Elle n’a plus ni	père	, ni mère, ni parents. Il n’est pas jusqu’
TXM_etude_des_moeurs	Fosseuse est née dans le bourg. Son	père	, journalier de Saint-Laurent-du-Pont, se nommait le Fosseur, abréviation sans
TXM_etude_des_moeurs	appelée la Fosseuse, du nom de son	père	. Ce journalier avait épousé par amour la femme de chambre de
TXM_etude_des_moeurs	l’enterrement du pauvre crétin et celui du	père	Pelletier se sont faits à des heures différentes. — Nous allons
TXM_etude_des_moeurs	se tue les uns les autres, de	père	en fils, à propos de rien : une idée qu’ils
TXM_etude_des_moeurs	enfant de Dieu, fait pour être le	père	du soldat, c’est qu’on ne l’a jamais vu
TXM_etude_des_moeurs	, le soldat te l’adopte pour son	père	. Et en avant ! Les autres, à Paris, voyant
TXM_etude_des_moeurs	, et le cousin de Mahomet son cher	père	, veut se venger de l’Angleterre, et lui prendre les
TXM_etude_des_moeurs	un enfant n’était né roi, son	père	vivant. Ce jour -là, un ballon est parti de Paris
TXM_etude_des_moeurs	en souviendra toujours ! Vive Napoléon, le	père	du peuple et du soldat ! " — Vive le général Eblé
TXM_etude_des_moeurs	une petite ville du Languedoc, où mon	père	s’était fixé depuis longtemps, et où s’est écoulée ma
TXM_etude_des_moeurs	aller achever mes études à Paris. Mon	père	avait eu la plus folle, la plus prodigue jeunesse ; mais
TXM_etude_des_moeurs	un plan dont je fus victime. Mon	père	me cacha soigneusement l’étendue de ses biens, et me condamna
TXM_etude_des_moeurs	transition, transporté dans la capitale. Mon	père	m’y accompagna pour me recommander à l’un de ses amis
TXM_etude_des_moeurs	raisons d’ordre et de comptabilité. Mon	père	se montra d’ailleurs libéral pour tous les frais nécessités par mon
TXM_etude_des_moeurs	lui, cet excellent homme fut un second	père	pour moi. — " Mon ami, me dit -il,
TXM_etude_des_moeurs	, venez alors à moi. Jadis votre	père	m’a galamment obligé, j’aurai toujours quelques écus à votre
TXM_etude_des_moeurs	toujours comme deux bons camarades. " Mon	père	m’installa dans une pension bourgeoise du quartier latin, chez des
TXM_etude_des_moeurs	Cette première indépendance, la bonté de mon	père	, le sacrifice qu’il paraissait faire pour moi, me causèrent
TXM_etude_des_moeurs	encore secoués ; puis les recommandations de mon	père	me montraient de nouvelles tâches à remplir ; enfin Paris était pour
TXM_etude_des_moeurs	la cause première de mes malheurs. Mon	père	mourut en laissant une fortune considérable ; les affaires de sa succession
TXM_etude_des_moeurs	, ayant entendu son fils disant : Mon	père	! mots qu’elle ne lui avait pas appris, elle me
TXM_etude_des_moeurs	, mon honneur ! je le chérissais comme	père	, je voulais encore l’aimer comme l’eût aimé sa mère
TXM_etude_des_moeurs	matin, après avoir dit : " Notre	père	qui êtes aux cieux … " il s’arrêta : " Pourquoi
TXM_etude_des_moeurs	renoué connaissance avec le vieil ami de mon	père	, qui jadis prenait soin de mes intérêts ; ce fut chez
TXM_etude_des_moeurs	donnent aux conversations du monde ; car le	père	et l’oncle lisaient seuls les journaux, et jamais ma prétendue
TXM_etude_des_moeurs	un homme digne de leur estime. Le	père	et la mère se confièrent à mon vieil ami, lui dirent
TXM_etude_des_moeurs	une terre située en Auvergne, et le	père	me pria de venir habiter, pendant deux mois, un vieux
TXM_etude_des_moeurs	les moyens humains furent épuisés ; quand le	père	et la mère eurent dit au vieillard, auteur de mon infortune
TXM_etude_des_moeurs	vaincre l’inflexibilité de ses parents ; son	père	pouvait lui avoir caché les motifs du refus qui tuait notre amour
TXM_etude_des_moeurs	sommes trouvés trop faibles en présence de mon	père	! Oui, monsieur, j’ai osé parler en votre faveur
TXM_etude_des_moeurs	en vous répondant à l’insu de mon	père	; mais ma mère le sait ; son indulgence, en me
TXM_etude_des_moeurs	il nous parle du beau royaume de son	père	; il ne nous défend aussi nulle part le parricide, mais
TXM_etude_des_moeurs	pratiquaient leurs trente-six commerces, et le vieux	père	juif, de qui les doigts ne se trouvèrent pas gelés pour
TXM_etude_des_moeurs	. C’était drôle à voir. Le	père	et la mère soupaient avec eux. A force de regarder,
TXM_etude_des_moeurs	dans le brouillard de fumée que faisait le	père	avec ses bouffées de tabac, la jeune Juive qui se trouvait
TXM_etude_des_moeurs	de m’aider à faire mes propositions au	père	et à la mère, et de tâcher d’établir une correspondance
TXM_etude_des_moeurs	sa pipe avec son ami Renard et le	père	de la fille, en voyant la princesse. C’est très-agréable
TXM_etude_des_moeurs	Parisien, un fils de famille. Son	père	, qui faisait un gros commerce d’épicerie, l’avait élevé
TXM_etude_des_moeurs	laisser le temps de souffler ; mais le	père	, la mère, la fille et mon maréchal-des-logis, tout cela
TXM_etude_des_moeurs	ce n’était pas la France. Le	père	Renard, vieux requin sans dents, ne voulut pas de sa
TXM_etude_des_moeurs	ne voulut pas de sa bru ; le	père	juif était fondu, Judith se mourait de chagrin. Un matin
TXM_etude_des_moeurs	cœur. Pendant que les papiers, le	père	et la mère juifs étaient en route, la pauvre femme acheva
TXM_etude_des_moeurs	quand son enfant eut un nom et un	père	, elle revint se coucher, je lui baisai les mains et
TXM_etude_des_moeurs	est couchée, je me suis trouvé le	père	d’un orphelin que j’ai mis en nourrice pendant la campagne
TXM_etude_des_moeurs	: — Vous êtes bien bon, mon	père	. Genestas eut le cœur froissé par cette insouciance maladive, et
TXM_etude_des_moeurs	faire cinquante francs afin de l’acheter au	père	Manseau. Un jour, sa femme, voyant que le chien
TXM_etude_des_moeurs	de Champagne furent dissipées. " Mon cher	père	… - Ah ! petit drôle, se dit -il, tu
TXM_etude_des_moeurs	détails parce que je sais, mon cher	père	, combien vous aimez monsieur Benassis. Quant à moi, je
TXM_etude_des_moeurs	s’emploie. Tels sont, mon bon	père	, les événements qui se sont passés ici depuis trois jours.
TXM_etude_des_moeurs	par sa mort. Maintenant, mon cher	père	, j’attends par Butifer, qui vous porte cette lettre,
TXM_etude_des_moeurs	ma parfaite obéissance. " Adieu, mon	père	, je vous envoie les mille tendresses de votre fils affectionné.
TXM_etude_des_moeurs	pas, vous devez cet argent au pauvre	père	Benassis. La vieille leva la tête et regarda Genestas. —
TXM_etude_des_moeurs	, et Adrien sauta au cou de son	père	; qui fut tout attendri de cette effusion ; mais le militaire
TXM_etude_des_moeurs	l’emportait encore en simplicité sur celui du	père	Fourchon. (LES PAYSANS.) ornées d’épines et de
TXM_etude_des_moeurs	l’emportait encore en simplicité sur celui du	père	Fourchon. — Ils sont bien bons enfants ici, se dit
TXM_etude_des_moeurs	— Elle est revenue là, dit le	père	Fourchon, elle a respiré, la gueuse, car c’est
TXM_etude_des_moeurs	allez ! mon cher monsieur, dit le	père	Fourchon à Blondet en se jetant aussi dans l’Avonne et laissant
TXM_etude_des_moeurs	allez du côté des roches ! cria le	père	Fourchon, le trou de la loute est là-bas, à vout
TXM_etude_des_moeurs	par vout faute ! …, dit le	père	Fourchon à qui Blondet donna la main et qui sortit de l’
TXM_etude_des_moeurs	hasard monsieur aurait donné dans la loutre au	père	Fourchon ? … dit le valet en remarquant l’eau qui s’
TXM_etude_des_moeurs	lui -même été pris à la loutre du	père	Fourchon, répondit le valet. Dès qu’il arrive un étranger
TXM_etude_des_moeurs	il arrive un étranger aux Aigues, le	père	Fourchon se met aux aguets, et si le bourgeois va voir
TXM_etude_des_moeurs	connaît très bien cet exercice -là, le	père	Fourchon, dit Charles. Il a en outre une autre corde
TXM_etude_des_moeurs	qu’il en avait entendu dire par son	père	, le juge d’Alençon. Puis toutes les plaisanteries cachées sous
TXM_etude_des_moeurs	les plaisanteries cachées sous la malicieuse rondeur du	père	Fourchon lui revenant à la mémoire éclairées par les confidences de Charles
TXM_etude_des_moeurs	les caressants reproches de la comtesse, le	père	Fourchon et Mouche arrivaient à leur établissement. De là, le
TXM_etude_des_moeurs	à leur établissement. De là, le	père	Fourchon, sous prétexte de fabriquer des cordes, surveillait les Aigues
TXM_etude_des_moeurs	je vas serrer nos agrès, dit le	père	Fourchon, et quand tu leur auras dégoisé la chose, on
TXM_etude_des_moeurs	Gaubertin, le régisseur des Aigues dont le	père	était accusateur public au Département, et qui d’ailleurs ne pouvait
TXM_etude_des_moeurs	dans une bucolique oubliée par Virgile. Le	père	Fourchon, d’abord maître d’école à Blangy, perdit sa
TXM_etude_des_moeurs	retraite à tant de vieux soldats, le	père	Fourchon fut réprimandé tous les jours. Tantôt il oubliait les lettres
TXM_etude_des_moeurs	pouvant rien être dans l’État, le	père	Fourchon avait fini par devenir fabricant. Dans la campagne, les
TXM_etude_des_moeurs	rendre fabriquée. Mais le principal revenu du	père	Fourchon et de son apprenti Mouche, fils naturel d’une de
TXM_etude_des_moeurs	lire ni écrire, usaient des talents du	père	Fourchon dans le cas d’une lettre à répondre ou d’un
TXM_etude_des_moeurs	campagnes, savent signer leur nom. Le	père	Fourchon servait donc de témoin ou de praticien pour les actes judiciaires
TXM_etude_des_moeurs	hiver dans la forêt des Aigues. Le	père	et ses deux fils braconnaient continuellement. De septembre en mars,
TXM_etude_des_moeurs	, blottis comme des animaux. Ni le	père	ni la mère ne songeaient à cette promiscuité. L’âge de
TXM_etude_des_moeurs	métal. — Tu brutalises toujours mon pauvre	père	, dit -elle à Tonsard, il gagne pourtant bien de l’
TXM_etude_des_moeurs	vient -il ? demanda la fille à son	père	en coulant la pièce dans sa poche. — Philippine ! tu
TXM_etude_des_moeurs	santé ! je deviens capitaliste, dit le	père	Fourchon. — Si vous vouliez, vous le seriez, dit
TXM_etude_des_moeurs	? … dit la Tonsard en regardant son	père	d’un air finaud. — Si tu me donnes un pantalon
TXM_etude_des_moeurs	sur notre estrade à Tivoli, car le	père	Socquard grogne toujours après moi, je te laisse la pièce,
TXM_etude_des_moeurs	. S’il avait une loute, ton	père	nous la montrerait, répondit -il en s’adressant à sa femme
TXM_etude_des_moeurs	futailles, rougissez -vous le gosier ! Le	père	à mame Tonsard en a le droit, et vaut mieux ça
TXM_etude_des_moeurs	si fin ! dit la fille à son	père	. Vous savez pourtant bien qu’avec ce secret -là, nous
TXM_etude_des_moeurs	Vin Cuit, reproché par la Tonsard au	père	Fourchon, est un breuvage assez cher, qui joue un grand
TXM_etude_des_moeurs	-là ! — Ne tourmente donc pas ton	père	! s’écria Tonsard, il ne sait pas, eh !
TXM_etude_des_moeurs	Fourchon. Comment depuis trente ans que le	père	Rigou vous suce la moelle de vos os, vous n’avez
TXM_etude_des_moeurs	raison, répondit Fourchon. Comme dit le	père	Niseron, qu’est resté républicain après tout le monde, le
TXM_etude_des_moeurs	coup de ciseaux le pantalon pendant que le	père	Fourchon levait son verre pour boire, et il mit le pied
TXM_etude_des_moeurs	— Présent ! mon officier, dit le	père	Fourchon en tendant la main à Vermichel pour l’aider à monter
TXM_etude_des_moeurs	quand il était à jeun. Aussi le	père	Fourchon disait -il, en méprisant la tenue de Vermichel : —
TXM_etude_des_moeurs	nous allons protester des billets, dit le	père	Fourchon en versant un verre de vin à son ami. —
TXM_etude_des_moeurs	, le Tapissier … Comme dit le petit	père	Brunet : — " S’il y avait trois propriétaires comme lui
TXM_etude_des_moeurs	Ne t’y fie pas, répondit le	père	Fourchon à son gendre, t’as des propriétés … — Enfin
TXM_etude_des_moeurs	le clos de vigne après avoir guigné son	père	et sa mère. Elle passa comme une anguille à travers un
TXM_etude_des_moeurs	pourrait bien tout de même ! ajouta le	père	Fourchon. Mais, vois -tu, Vermichel, je ne peux
TXM_etude_des_moeurs	pas, dit la Tonsard, que mon	père	ferait bien de s’évanouir. Est -ce que par hasard vous
TXM_etude_des_moeurs	avez un réfractaire, monsieur Brunet. Le	père	Fourchon a la goutte. — Il a plusieurs gouttes, répliqua
TXM_etude_des_moeurs	chauffe donc ? … dit Tonsard au petit	père	Brunet. — Que voulez -vous, vous le pillez aussi par
TXM_etude_des_moeurs	de sa belle-mère et le conseil de son	père	, prit une poignée de cendres et la jeta dans les yeux
TXM_etude_des_moeurs	vous en avez une, dit -il au	père	Fourchon. Le vieillard se leva précipitamment et suivit Charles. —
TXM_etude_des_moeurs	ste heure ! Charles se défiait tellement du	père	Fourchon qu’il prit ses véritables lamentations pour la préparation de ce
TXM_etude_des_moeurs	malicieux vieillard. — Ah ! çà,	père	Fourchon, de la tenue ? … hein ! vous allez parler
TXM_etude_des_moeurs	aurait pas le dernier. — Tenez,	père	Fourchon, v’là quarante sous pour boire à ma santé, dans
TXM_etude_des_moeurs	pas siroter de vin d’Alicante … Le	père	Fourchon détourna la tête en empochant la pièce pour que Charles ne
TXM_etude_des_moeurs	aux Aigues, imbécile ! Charles regarda le	père	Fourchon avec une naïve admiration sans pouvoir deviner l’immense intérêt que
TXM_etude_des_moeurs	entendît : — Monsieur, le petit au	père	Fourchon prétend qu’ils ont fini par prendre une loutre, et
TXM_etude_des_moeurs	avez chassé la loutre ce matin avec le	père	Fourchon, s’écria le général pris d’un fou-rire. —
TXM_etude_des_moeurs	général, s’est laissé enfoncer par le	père	Fourchon, un cuirassier retiré n’a pas à rougir d’avoir
TXM_etude_des_moeurs	, ce petit qui va toujours avec le	père	Fourchon, répondit le valet de chambre. — Faites -le venir
TXM_etude_des_moeurs	menus plaisirs des bourgeois, l’élève du	père	Fourchon fut alors digne de son maître, il se mit à
TXM_etude_des_moeurs	, qu’il y déjeûne en attendant le	père	Fourchon, que vous enverrez chercher par Charles. Voyez à trouver
TXM_etude_des_moeurs	? répéta gravement le général. — Le	père	Fourchon est avec son gendre Tonsard, reprit le curé, toute
TXM_etude_des_moeurs	malheureusement, répondit le curé. Le pauvre	père	Niseron, ce vieillard à tête blanche, qui cumule les fonctions
TXM_etude_des_moeurs	du quinzième siècle. En ce moment le	père	Fourchon, amené par François, fit entendre le bruit de ses
TXM_etude_des_moeurs	comtesse à François qui l’annonça, le	père	Fourchon, suivi de Mouche, la bouche pleine, se montra
TXM_etude_des_moeurs	Oh ! mon cher monsieur, répondit le	père	Fourchon, la vôtre s’est enfuie, elle est à ste
TXM_etude_des_moeurs	: voleurs ! V’là quinze ans que le	père	Guerbet, el parcepteur de Soulanges s’en va e’d ’nos
TXM_etude_des_moeurs	et ce brave, s’t ’honnête	père	Niseron, un vigneron de soixante-dix ans, car il a mon
