ContexteGauche;Pivot;ContexteDroit
faire ce qui plaît. Un homme doit|aller|mourir froidement pour son pays et peut donner avec bonheur sa vie
"ses volontés ; vous voudrez être diplomate,"|aller|, venir, étudier les hommes, les intérêts, les pays
alors vous ne sauriez pas jusqu’où pourrait|aller|mon dévouement. Suis -je suspecte en vous disant d’éviter les
résolus de quitter la cour de Gand pour|aller|servir la vraie souveraine. Dieu me récompensa. L’émissaire envoyé
feux un ami, quand on ne laisse|aller|à lui que de pures pensées ? J’écoutais cette horrible clameur
la décidai, non sans peine à s’|aller|coucher la troisième nuit. Quand tout reposa dans la maison,
ne pas être compris. La comtesse voulut|aller|rendre grâces à Dieu du rétablissement de monsieur de Mortsauf, elle
Je demeurai debout, confondu, la laissant|aller|, la contemplant, toujours noble, lente, fière, plus
Elle n’est pas divorcée, elle peut|aller|en Angleterre. Son mari serait bien heureux, si elle voulait
notre passé si pur, en se laissant|aller|à des contemplations qui furent mutuelles. Nous reprenions nos souvenirs,
sœur en avant, je laissai le comte|aller|seul, et conduisant madame de Mortsauf vers la toue : —
maintenant j’avais besoin de prétextes pour l’|aller|rejoindre. Elle était avec ses enfants occupée à expliquer les règles
moment où le comte nous laissa seuls pour|aller|demander un verre d’eau de fleurs d’oranger, j’ai
je vous prie, pour que je puisse|aller|faire un tour. Elle savait qu’avant la prière toute explication
homme gorgé de bonheur. En refusant d’|aller|à Clochegourde, je donnais gain de cause à lady Dudley sur
m’emmenait alors à Paris. Mais y|aller|, n’était -ce pas insulter madame de Mortsauf ? dans ce
situation, une fois sorti de Clochegourde pour|aller|à la Grenadière, était aussi mortelle à mes amours d’élection
, j’avais laissé lady Dudley s’en|aller|"seule ; si j’étais revenu à Clochegourde, où peut-être Henriette"
dos comme aujourd’hui que vous quittez Clochegourde pour|aller|à la Grenadière. Hé ! bien, encore une fois,
angélique, sortira splendide de ses nuages pour|aller|dans le royaume de lumière. Au moment où je serrais la
Tantôt je voulais mourir avec elle, tantôt|aller|m’enfermer à la Meilleraye où venaient de s’établir les trappistes
abbé Birotteau, le vieux piqueur sortit pour|aller|chercher le curé de Saché. Le médecin, debout près du
lady Dudley et votre arrivée. Je voulais|aller|à Paris, j’avais soif de meurtre, je souhaitais la
durée : Jacques quittera bientôt la maison pour|aller|à Paris auprès de son grand-père, et vous m’avez promis
cuisine, le chemin le plus court pour|aller|à la salle à manger. Si cette cuisine, enfumée comme
de fer enfoncé dans le bois. Pour|aller|à Grenoble, soit à cheval, soit à pied, il
leurs affaires, et je m’y laissais|aller|à un contentement que je ne saurais peindre. J’étais joyeux
distribuer du blé à ceux -ci, puis|aller|calmer ceux -là par des paroles amicales. Néanmoins, quand nous
retentissaient agréablement à mes oreilles. Je voyais|aller|et venir une active population, agglomérée dans un bourg nouveau,
voyageurs qui commencent à prendre notre chemin pour|aller|à la Grande-Chartreuse. Depuis deux ans nous avons un mouvement commercial
être bien certain que je gagnerions avant d’|aller|chez l’huissier m’engager dans des frais. Genestas et le
donné quarante sous ! — Nous commencerons par|aller|visiter deux morts, dit Benassis à son hôte en sortant de
, dit -elle en pleurant, faut bien|aller|tout de même. Je me dis que mon homme ne souffrira
eux. Quand il quitta l’aîné pour|aller|chez le cadet, un de ses amis lui demanda : «
les croisées. — Je n’ose pas|aller|me mêler à cette douleur, dit Genestas à Benassis. —
Mon vieux camarade, cela ne peut pas|aller|comme ça ! dit Genestas. Je te dois la vie,
enfin elle est femme, elle se laisse|aller|à ses impressions et à ses goûts avec une naïveté d’enfant
. Il laissa Genestas seul et monta pour|aller|chercher la Fosseuse. Le commandant examina la salle. Le mur
deviné cela. Quelque chose me disait d’|aller|en chercher. Et elle se remit à tirer l’aiguille.
Je ne me sens pas d’humeur à|aller|porter la soupe aux champs ou à mener une charrette, à
je suis un chien. Mon fusil doit|aller|chez vous, mais vous aurez mon héritage en me le prenant
même à ses risques et périls. Laisser|aller|en paix un malfaiteur, n’est -ce pas se rendre coupable
Quand des paysans ont fait deux lieues pour|aller|à leur ouvrage et reviennent bien fatigués le soir, s’ils
sillon de terre en labourant, ou d’|aller|couper des osiers chez autrui quand ils en ont besoin, c’
. Elle pense d’abord à s’en|aller|sans qu’on s’en doute, ne sachant pas encore que
, mes enfants, faut marcher pour les|aller|"prendre à Milan, où il y en a. "" Et"
, auxquels on avait toujours empêché Napoléon d’|aller|dire deux mots dans leur boutique. Fallait donc en finir avec
est à eux, je trouve définitif d’|aller|"à Moscou. "" Pour lors, assemble la plus grande des"
Sorrèze, et n’en sortis que pour|aller|achever mes études à Paris. Mon père avait eu la plus
vivacité d’un Languedocien, le plaisir d’|aller|et de venir sans avoir à rendre compte de mes actions à
je vous avoue tout, je vais vous|aller|chercher sa réponse et ma dernière lettre, dit Benassis en sortant
quatre-vingt mille francs, je voulus d’abord|aller|loin des hommes, user ma vie en végétant au fond de
mauvaises habitudes de collége. Vous pourrez alors|aller|reprendre vos études, et vous deviendrez un homme. Butifer est
Oui, sire - Ne continue pas d’|aller|par ce chemin -là, me dit -il, prends à gauche
vous voyez là m’a donc empêché d’|aller|"Sainte-Hélène. "" - Tiens, me dit -il, je ne"
Nicolle, en partant à cheval, pour|aller|chercher monsieur Bordier, le chirurgien, a semé l’alarme dans
Viendrez -vous me chercher, ou dois -je|aller|vous rejoindre à Grenoble ? Dites -moi ce que vous souhaitez que
". "" — Allons, il faut y"|aller|, s’écria le soldat. Il commanda de seller son cheval
bout de laquelle la grande route tourne pour|aller|droit à la petite sous-préfecture de la Ville-aux-Fayes, où trône le
de quelques graines craquent, les pavots laissent|aller|leur morphine en larmes liquoreuses, tout se découpe nettement sur le
alors le lion d’Essling se sauve pour|aller|essuyer une larme. Quand il se présente au salon, et
chaque soir le projet oublié chaque matin d’|aller|les visiter. En effet, au-dessus du parc des Aigues,
, il n’y a pas besoin d’|aller|en Amérique pour observer des Sauvages. Quoique le Parisien ne fût
, un beau-père fainéant. Les affaires devaient|aller|d’autant plus mal que la Tonsard, douée d’une espèce
été prononcé, jugea très à propos d’|aller|dans le clos prendre l’air. — De quoi ! …
il était impossible de ne pas se laisser|aller|aux inspirations de la charité. Les yeux de Mouche, comme
C’est dur d’en être réduit à|aller|prendre un verre de vin ailleurs que chez ma fille ?.
levé tous les matins avant le jour pour|aller|au labour, qui s’est fait un corps ed ’fer
c’est par là qu’on sort pour|aller|à l’échafaud. Ne vole rien, fais -toi donner !
dit Blondet. — Vous me parlez d’|aller|quérir la fortune ? … Où donc irais -je ? Pour franchir
dans mes poches avec une voisine. Pour|aller|devant soi, il faut autant d’écus que l’on trouve
vie de mademoiselle Laguerre, l’usage d’|aller|ramasser le bois était devenu l’abus le plus effronté..
à plusieurs reprises, de son refus d’|aller|occuper une cure superbe à la préfecture ou Monseigneur le désirait.
moment où le général montait en calèche pour|aller|à la Préfecture, la comtesse arrivait à la porte d’Avonne
de la terre ne nous empêcherait pas d’|aller|au bois, qu’il y irait lui -même, et que
qu’en plein jour, et encore pour|aller|d’ici à la porte de Couches. Si, par hasard
silence sur les lèvres. Au moment d’|aller|porter le lait que madame Michaud envoyait à la fille de Gaillard
. Danser sous les yeux de Michaud,|aller|à la fête de Soulanges, y briller, s’inscrire dans
gardes, où l’on ne peut pas|aller|deux de front, mais qui menait droit à la porte d’
cents francs, et monsieur Gourdon pourra bien|aller|dire aux Aigues que la mère a la cuisse déhanchée … —
. — Si vous voulez, je vas|aller|à Soulanges, dit Bonnébault, je consulterai monsieur Gourdon, le
— Tenez, reprit Vaudoyer, il faut|aller|savoir du bonhomme Rigou qui connaît les lois, si le Tapissier
vous ne serez pas empêchés vous autres d’|aller|ailleurs, à moins que tous les maires ne fassent comme celui
, il prend un drôle de chemin pour|aller|à Couches, ton bon ami ? cria la vieille Tonsard à
disait qu’il avait juré son honneur d’|aller|jusqu’à Paris parler au Chancelier de France, au roi,
cette question de Tonsard, Vaudoyer sortit pour|aller|chez l’ancien maire. Langlumé, déjà sorti, se retourna
, s’il avait eu l’intention d’|aller|"à la Convention ; mais il eut la sagesse d’être un"
C’est que le Tapissier a parlé d’|aller|à Paris y voir le garde-des-sceaux, il est capable de vous
Brossette. Madame la comtesse a parlé d’|aller|voir son cousin le préfet, le comte de Castéran, à
Courtecuisse, notre ancien maire va sans doute|aller|nous défendre, dit une vieille fileuse que la question des délits
admire sous verre. On prenait jour pour|aller|voir le cabinet de monsieur Gourdon. — J’ai, disait
chants à peu près. car, d’|aller|jusqu’à six, il était reconnu qu’on fatiguait le sujet
comme retraite, rentra dans la maison pour|aller|manœuvrer la porte de la cour. Socquard, ce personnage si
! … — Il a l’intention d’|aller|à Paris, et d’intriguer auprès du garde-des-sceaux pour tout changer
-il au notaire qui sortit avec lui pour|aller|faire seller son cheval, tâchez que madame Sarcus sache tout ce
profond politique tout à ses trames, laissait|aller|son cheval si lentement, qu’en longeant le Café de la
il est temps que vous lui disiez d’|aller|jouer ailleurs que chez vous au billard ! … qu’il y
deux amis tournèrent le lac de Soulanges pour|aller|à La-Ville-aux-Fayes. — Et ce château -là ? … dit Rigou
Pendant que la pauvre jeune femme se laissait|aller|à écouter ces voix confuses qui viennent à travers des espaces inconnus
"est allé ; les pésans ont continué d’"|aller|au bois où ils allaient depuis des années comme ici. —
ses hommes et leur dit : — Laissez|aller|vos prisonniers, le général a obtenu leur grâce du roi.
femmes qui abandonnent des travaux bien rétribués pour|aller|"glaner. Le blé qu’elles trouvent ainsi leur semble meilleur ;"
pas à même les gerbes, il faut|aller|pas à pas, dit -il en partant. — L’avez
à Olympe d’accompagner son mari qui devait|aller|donner un ordre à un garde dont la maison n’était pas
? — Oui, Monsieur. Et d’|aller|. Cette avenue était une des plus délicieuses, elle tourna bientôt
s’accota sur le tilbury et se laissa|aller|au plaisir, ses yeux étaient occupés, son cœur parlait,
le montra à Michaud, et il voulut|aller|le voir. Tous deux s’élancèrent en droite ligne à travers
"pas, dit Courtecuisse ; il vient d’"|aller|à Couches, pour la bourgeoise de la poste, qui fait
Tonsard, il va mettre une demi-heure pour|aller|à Soulanges, et autant pour revenir là. Ah çà,
et monsieur Michaud a passé par là pour|aller|à Soulanges où il est venu à onze heures. Son cheval
de vendre votre terre et de vous en|aller|"; mais dépêchez -vous. Je suis encore un brave garçon,"
assez voisins de l'enfance pour se laisser|aller|à des enfantillages. Aussi, peut-être, sur cent d'entre
soirée, son père lui avait dit d'|aller|pour quelques mois chez son frère de Saumur. Peut-être monsieur Grandet
gâter une délicieuse voiture de voyage commandée pour|aller|au-devant de son Annette, la grande dame que... etc.
la première fois, quitta la salle pour|aller|aider sa mère et Nanon. Si elle avait été questionnée par
pour toi dans le monde où nous devons|aller|tous un jour, et où je suis déjà. » Victor-Ange-Guillaume
entendre, s'il lui prenait fantaisie d'|aller|et de venir. Quand Eugénie et sa mère arrivèrent au milieu
. Naïve et vraie, elle se laissait|aller|à sa nature angélique sans se défier ni de ses impressions,
vieillard en continuant. Je suis obligé d'|aller|faire aligner le fossé de mes prés sur la route. Je
lesquelles Eugénie quitta vingt fois son ouvrage pour|aller|voir bouillir le café, pour aller écouter le bruit que faisait
pour aller voir bouillir le café, pour|aller|écouter le bruit que faisait son cousin en se levant, elle
dit sa tante. Le dandy se laissa|aller|sur le fauteuil comme une jolie femme qui se pose sur son
. --Mais a-t -il de l'argent pour|aller|là ? --Je lui paierai son voyage... jusqu'à... oui
les rouler, les pétrir, les faire|aller|", venir, suer, espérer, pâlir ; pour s'amuser"
nécessaires, et il ne voulait pas les|aller|chercher, et il avait décidé de les faire arriver chez lui
à Nanon, et fais -moi souvenir d'|aller|à la cave chercher du bon vin. --Eh ! bien donc
du père de Charles, ils résolurent d'|aller|dès le soir même chez leur client, afin de prendre part
est sept heures et demie, vous devriez|aller|vous serrer dans votre portefeuille. Bonne nuit, ma fille.
Hé ! bien, je vous offre d'|aller|à Paris (vous me tiendriez compte du voyage, c'est
un président de tribunal de première instance d'|aller|à Paris pour y faire capituler des créanciers et y prêter les
. Diable ! il n'y faut pas|aller|comme une corneille qui abat des noix. Laisse -moi maintenant conduire
débours, calculs d'intérêts ? Je dois|aller|à Paris pour mes affaires, et je pourrais alors me charger
à Paris. Je payerais volontiers pour y|aller|, moi. Et elle fit un signe à son mari comme
ses fermiers, se mit en mesure d'|aller|y vendre le sien et d'en rapporter en valeurs du receveur-général
pas cette lettre. Je dois m'en|aller|. Si je la lisais, cependant ? Elle regarda Charles,
n'ai pas cent francs à moi pour|aller|tenter le sort aux Indes ou en Amérique. Oui, ma
je n'ai point assez d'argent pour|aller|où tu es, donner, recevoir un dernier baiser, un
compté chacun leur fortune : lui, pour|aller|"vendre son or ; Eugénie, pour jeter le sien dans un"
Madame Grandet et Eugénie furent donc obligées d'|aller|et de venir, de répondre aux interminables discours des ouvriers et
déjeuner, le père Grandet était parti pour|aller|voir ses propriétés et ses exploitations, Charles demeurait entre la mère
. Tiens, tiens, je vais l'|aller|voir. Il prit son chapeau, mit ses gants et sortit
absence de cinq jours, sous prétexte d'|aller|ranger quelque chose à Froidfond, comme si le bonhomme était capable
jour où il partit de chez vous pour|aller|à Paris, il courait à sa ruine. --Le ciel m'
au dernier moment pour l'empêcher d'y|aller|". Monsieur le président voulait à toute force l'y remplacer ;"
, et où elle avait fait vœu d'|aller|tous les jours, elle prit, chez le libraire de la
mère. Demain matin ne devons -nous pas|aller|lui souhaiter la bonne année dans sa chambre ? --Mais, ma
pâté de foies gras truffés ! Je vais|aller|le chercher à la diligence. Il doit y avoir joint un
une pile de granit. Il continua d'|aller|"et venir selon ses habitudes ; mais il ne bégaya plus,"
Lorsque sa fille descendait la rue tortueuse pour|aller|à la messe ou à vêpres, accompagnée de Nanon, tous
millions à la sueur de mon front pour|aller|les flanquer à la tête des créanciers de mon père. --Et
pauvres, et dit à Nanon de les|aller|"chercher ; mais le curé se prit à sourire. --Aujourd'hui,"
"devient jaune depuis quelque temps ; elle devrait"|aller|consulter les célébrités de Paris. Comment peut -elle ne pas désirer
ans. Le vieux marquis se leva pour|aller|"au-devant de sa sœur, qui revenait du berceau ; il lui"
par le jour, et je me laissais|aller|aux fascinations de ces yeux d’émeraude qui rêvaient et me jetaient
ans, comme une partie de plaisir d’|aller|voir ces raretés sous leur cage de verre. Mais aussitôt que
, si mon grand âge m’interdisait d’|aller|à la Cour, où, entre nous soit dit, je
viennent pas à nous, il faut donc|aller|à eux … — Je suis enchanté de savoir que vous pensez
, un flambeau à la main, pour|aller|coucher son maître. — Asseyez -vous, Chesnel, dit la
ayant envie de dormir autant que de s’|aller|noyer : le démon de la curiosité lui écarquillait les yeux,
sur le dos de sa bergère et laissant|aller|ses bras le long de sa taille comme une personne qui attend
fonds pour ce voyage ? Victurnien ne peut|aller|à la Cour sans s’y tenir à son rang. —
est nôtre ! qu’il vous permet d’|aller|partout la tête haute, et de prétendre à des reines.
d’argent le jeune comte serait obligé d’|aller|faire une visite au notaire qui, certes, userait du droit
après son arrivée, Victurnien fut obligé d’|aller|reprendre une dizaine de mille francs chez son notaire. Il avait
"francs ; je vous supplie de ne pas"|aller|au delà, si vous faites l’honneur de les prendre au
il attendait ses clercs avant de sortir pour|aller|"faire sa partie ; il pensait, ne demandez pas à qui"
entrailles maternelles ? Mademoiselle Armande, décidée à|aller|trouver la duchesse de Maufrigneuse, voulait tout déclarer à cette femme
atroce idée : Fuir avec la duchesse,|aller|vivre dans un coin ignoré, au fond de l’Amérique du
: la fuite en pays étranger, ou|aller|au Roi et lui déclarer sa dette, ou séduire un riche
de son feu, commandant sa toilette pour|aller|au Bois, si le temps le permettait, quand Victurnien entra
apprêter. Victurnien ne voulut pas s’en|aller|sans que cette promesse fût scellée : il avait besoin de puiser
Il paya les postillons de manière à faire|aller|la lourde voiture aussi vite que la malle, car il rencontra
, et qui se tuera pour ne pas|aller|lui -même en Cour d’Assises comme coupable d’un meurtre ?
moindre trait d’esprit auquel elle se laissait|aller|donnait lieu à d’interminables commentaires et envenimait sa situation. Occupée
endormit plein d’espérance en se promettant d’|aller|voir monsieur Blondet, pour lui offrir de réaliser les espérances qu’
Diane, en lui démontrant la nécessité d’|aller|chez le Juge d’Instruction au petit jour, afin que personne
de fils épousera mademoiselle Blandureau. Je vais|aller|retourner les semis au père Blondet. Toi, Camusot, va
à une jolie femme. — Avant d’|aller|au Palais, lui dit madame Camusot, allez vous informer chez
je fis dans mon pays, pour y|aller|chercher les papiers nécessaires à mon mariage. Quand mon père apprit
chose ? l'abbé Birotteau se laissa doucement|aller|"dans la belle et ample bergère de son défunt ami ; mais"
soirées à mademoiselle Gamard, au lieu d'|aller|les passer au dehors. L'hôtesse avait, depuis quelques années
Soit qu'elle regrettât d'être obligée d'|aller|chercher le monde et se crût en droit, à son âge
portait cette fille. Donc il résolut d'|aller|, comme jadis, passer plusieurs jours à une campagne où madame
pour quoi que ce soit, même pour|aller|chercher un plaisir. L'abbé Birotteau était à l'Alouette depuis
par lesquelles il passait, et continuer d'|aller|dans les trois salons, où il jouait, pendant chaque soirée
voir ici sa belle-mère. Je vais y|aller|ce soir même, avec l'abbé Birotteau, pour le prier
sa canne et son chapeau pour s'en|aller|après la partie de wisth. Les lumières du vieux malin étaient
que l'abbé descendit chez mademoiselle Gamard pour|aller|chercher sa réponse à la transaction proposée. Il revint bientôt.
, j'ai de trop grandes occupations pour|aller|"dans le monde ; mais pour vous, que ne ferait -on"
autre pour son neveu. --Il faut y|aller|, dit -elle. --Ça ne veut pas dire autre chose,
point de quitter la ville de Tours pour|aller|résider dans son diocèse : mais il retarda son départ. Furieux
, il eut du moins la gloire d'|aller|à l'échafaud en compagnie d'André de Chénier. Là,
voulut égayer madame Bridau, elle la fit|aller|souvent au spectacle et en voiture, elle lui composa d'excellents
sa mère tira de lui de ne plus|aller|à l'Institut, l'enfant se glissa souvent dans l'atelier
, demandait à sa mère de le laisser|aller|chez M. Regnauld, et promettait de pouvoir gagner sa vie
Français est trop fier de sa Colonne pour|aller|s'encolonner ailleurs. Napoléon reviendra d'ailleurs peut-être encore une fois
ses économies, et dépensa mille francs pour|aller|conduire et embarquer son fils au Havre. A la fin de
nécessité. Avec ce système, on peut|aller|loin. Le colonel avait conservé, dans l'apparence seulement,
horrible carrière du théâtre. Forcé de laisser|aller|sa terrible maîtresse à Londres sans l'y suivre, Philippe reprit
a une bonne judiciaire, et je vais|aller|chez lui ce matin. Desroches dira que Philippe a été victime
dîner avec la famille, avertir Agathe d'|aller|signer le lendemain au Trésor, rue Vivienne, le transfert de
atelier, tu ne te priveras pas d'|aller|aux Italiens pour payer tes modèles et ton marchand de couleurs.
son travail. Déjà la pauvre mère était|aller|demander de la tapisserie à remplir au _Père de famille_, ouvrage
veille de Noël, la Descoings devait nécessairement|aller|"acheter quelques friandises pour le réveillon ; mais aussi peut-être ferait -elle"
quelque chose, et pria la portière d'|aller|chercher elle -même un serrurier qui demeurait à deux pas, rue
pour la seconde fois à son frère d'|aller|dîner ensemble au Palais-Royal. Il fit sonner de l'or dans
porte et avant de monter en voiture pour|aller|au spectacle, car Philippe menait sa mère au Cirque-Olympique, seul
seul théâtre où son confesseur lui permît d'|aller|, Joseph serra le bras de sa mère qui feignit aussitôt d'
en se mettant au lit. --Je vais|aller|voir Desroches, lui répondit Joseph. Pendant que l'artiste confiait
l'œil pour dire à Joseph de laisser|aller|sa mère un peu en avant, et il le garda pendant
comprenons rien, je le prierai d'y|aller|. --Ne nous cassons pas la tête inutilement, dit Agathe.
? Qui de nos jours est soucieux d'|aller|s'enterrer en des Arrondissements où le bien à faire est sans
alors rien de mieux à faire que d'|aller|demander à Paris son grade de chef de bataillon et sa croix
un jour, sa femme, en voulant|aller|à la messe, trouva son châle intérieurement collé par une substance
savonner, repasser, veiller aux lessives,|aller|au marché, faire la cuisine, prendre vos intérêts en toutes
s'agit de choses trop sérieuses pour y|aller|à l'étourdie. Envoie -moi mon café, je le prendrai
. Ma charrette vous servira de cabriolet pour|aller|au diable !... à moins, dit -il en devenant doux
, car son grand âge l'empêchait d'|aller|tous les jours à l'église : elle avait de la peine
. Tous ceux qui avaient le droit d'|aller|voir les Hochon se promirent de leur faire visite le soir même
de Molière. --Nous aurions mieux fait d'|aller|à l'auberge, se dit -il en lui -même. L'
de justice sociale, il voulait la voir|aller|aux héritiers naturels au lieu d'être pillée par des étrangers indignes
à pied, il devait à son âge|aller|en voiture. Ce prétexte fut nécessité par l'obligation de se
. Maxence, en bon cavalier, pouvait|aller|à Bourges et en revenir de cinq heures du matin à cinq
je veux partir dès demain, et vais|aller|faire mes adieux à mon oncle. --Ah ! dit monsieur Hochon
je suis d'autant plus pressé d'y|aller|qu'il a les bras assez longs pour rendre service à mon
arrivèrent, Max était évanoui. Il fallut|aller|"éveiller monsieur Goddet le père. Max avait bien reconnu Fario ;"
sa sœur et lui offrir sa calèche pour|aller|à Bourges. --Ah ! vos tableaux nous ont fait bien du
, non, dit Philippe, il faut|aller|vite en besogne, ce Gilet pourrait dénaturer la fortune de mon
sur le Grand-Livre, et de s'en|aller|se marier je ne sais où, après avoir tiré cette aile
plan très-simple de quitter le pays et d'|aller|épouser Maxence à Paris, après s'être fait donner l'inscription
bien besoin d'elle... --Il vaudrait mieux|aller|en voiture, dit Flore. --Oui, allons en voiture,
... Et Philippe traversa la place Saint-Jean pour|aller|chez les Hochon. Chacun doit pressentir la scène que la révélation
? Ah ! vous avez plusieurs fois failli|aller|en Cour d'Assises... Taisez -vous, dit -il en voyant
au matin, il prendra la poste pour|aller|à Paris, et laissera là très-bien l'anniversaire... --Bon,
double en essayant un grand coup. Laisse|aller|notre imbécile avec son neveu ! --Mais ce grand mâtin -là ne
de vous _chouchoûter_, elle vous a fait|aller|"comme un valet, c'est encore tout simple ; elle voudrait"
francs de rente, uniquement pour s'en|aller|se marier à Paris, et y faire la noce avec votre
en très-habile politique, avait jugé nécessaire d'|aller|flâner par la ville. En laissant le vieillard seul à son
monsieur Hochon, Philippe descendit la Petite-Narette pour|aller|chez le commandant Mignonnet. Dix minutes après, monsieur Hochon vit
mon oncle, qui faisait la sottise d'|aller|à Vatan retrouver mademoiselle Brazier et le commandant Gilet, dit avec
, il n'a qu'à s'en|aller|d'Issoudun, s'embarquer pour l'Amérique avec une pacotille,
de la Poste. --Me permettez -vous d'|aller|les lui porter ? dit -elle à Jean-Jacques Rouget. --Oui,
lourde sottise, dit -il. Il fallait|aller|"tous les trois à Paris y passer l'hiver ; mais,"
: il est sorti de l'École pour|aller|à l'armée, il s'est toujours battu jusqu'en 1815
caché, dit -il à sa mère d'|aller|voir cette fille et de lui témoigner quelque affection en la traitant
bras quand son oncle se fut levé pour|aller|s'habiller, car ces nouveaux époux étaient descendus, Flore en
comte, Philippe assez fort pour ne plus|aller|au jeu, l'invité des fêtes de Madame, ce brillant
» PHILIPPE BRIDAU. » En se laissant|aller|presque évanouie sur le divan de l'atelier, Agathe lâcha la
, priez pour lui, moi je vais|aller|prier pour vous. Dessillés par de si puissantes mains, les
arriérés, il faut sortir ! Et où|aller|, monsieur ?... Puis -je me dire » Votre belle-sœur,
!... --Faut -il me faire protestant pour|aller|"chez toi ? répondit Bixiou en badinant ; mais il se dit"
un sou de dot : ça doit vous|aller|. --J'aurai dix millions dans deux ans d'ici, répondit Philippe
sans doute à terme. Ils pouvaient donc|aller|vivre ensemble à Provins dans une maison à eux. Leur première
Français : s'ils sortent de Provins pour|aller|chercher fortune, ils y reviennent toujours. Le proverbe : Mourir
été prodigués outre mesure. Personne ne voulut|aller|aux soirées des Rogron, dont les prétentions avortèrent. Les raisons
, dura trois mois. La défense d'|aller|voir ses petites amies, appuyée sur la nécessité de commencer à
parents et saluer la compagnie avant de s'|aller|coucher. Sylvie avança froidement sa joue à cette charmante enfant,
Rogron. --Mais elle est assez âgée pour|aller|en pension, dit madame Vinet. Un nouveau regard de Vinet
elle médita le projet hardi de s'en|aller|à pied, sans argent, en Bretagne, y retrouver sa
, balayer, tenir une maison propre,|aller|au marché, apprendre le prix des choses. La pauvre petite
qui mériteriez de sortir de table et d'|aller|manger seule à la cuisine. --Qu'avez -vous donc toutes deux ?
avec le colonel. --Où voulez -vous donc|aller|? vous voilà mise comme une divinité, demanda Gouraud qui remarquait
robes de velours... Elle coupa Pierrette pour|aller|porter sur un fauteuil son chapeau que la petite fille lui prit
pas payer sa Misère en se levant pour|aller|voir ce qu'avait fait Pierrette, mais madame de Chargebœuf l'
puisque te voilà, je veux nous en|aller|en Bretagne retrouver ma grand'maman qui m'aime, quoiqu'ils m'
, Pierrette lui faisant signe de s'en|aller|, lui partant, elle restant, et lui revenant prendre son
une folle, en demandant les moyens d'|aller|à Provins avec la rapidité de l'éclair. Elle partit par
faut lui couper la main, vous pouvez|aller|"en Cour d'Assises ; les Tiphaine feront tout pour vous mener"
furent obligés de donner caution pour ne pas|aller|en prison. L'Instruction exigeait l'interrogatoire de Pierrette. Quand
le plombier l'accompagna en lui offrant d'|aller|avec lui pour souder la quatrième feuille une fois que le corps
